run_index,container_name,container_id,broker_ip,server_port,cache_port,fuzz_exit_code,fuzz_duration_s,messages_sent,branch_pct,branch_covered,branch_total,line_pct,line_covered,line_total,broker_crashed
1,mosquitto-worker01-Apr-13_22-20-00,9e33e4b1ef4c,172.199.0.11,1884,1885,0,88804,5915028,24.4,3848,15771,31.4,5960,18990,false
2,mosquitto-worker02-Apr-13_22-20-00,d8b13d05647f,172.199.0.12,1894,1895,0,88805,5123168,23.7,3740,15771,30.8,5847,18990,false
3,mosquitto-worker03-Apr-13_22-20-00,fb6a909fea1f,172.199.0.13,1904,1905,0,88804,3268891,24.0,3791,15771,31.1,5908,18990,false
4,mosquitto-worker04-Apr-13_22-20-00,87ad95d44a78,172.199.0.14,1914,1915,0,88805,1369552,23.5,3707,15771,30.8,5848,18990,false
5,mosquitto-worker05-Apr-13_22-20-00,604ebbf215b5,172.199.0.15,1924,1925,0,88804,1291716,23.6,3722,15771,30.7,5833,18990,false
6,mosquitto-worker06-Apr-13_22-20-00,4e508b367e4d,172.199.0.16,1934,1935,0,88805,2380645,22.7,3581,15771,29.9,5675,18990,false
7,mosquitto-worker07-Apr-13_22-20-00,ca353e1f5e66,172.199.0.17,1944,1945,0,88805,4626605,23.6,3723,15771,30.7,5822,18990,false
8,mosquitto-worker08-Apr-13_22-20-00,9e35d5aa7f4b,172.199.0.18,1954,1955,0,88805,5189334,23.4,3695,15771,30.5,5799,18990,false
9,mosquitto-worker09-Apr-13_22-20-00,28b5654a1688,172.199.0.19,1964,1965,0,88804,1256998,23.3,3679,15771,30.5,5790,18990,false
10,mosquitto-worker10-Apr-13_22-20-00,0e85514e5318,172.199.0.20,1974,1975,0,88805,1281883,23.8,3756,15771,30.9,5867,18990,false
